device,campaign,block,chunk,workload,run,warmup,included,issues,injected_ttft_ms,active_max_gap_ms,interference_max_gap_ms,output_tokens_per_second,max_dispatch_lateness_ms,request_count,run_manifest_sha256
orin64-ref-01,pilot-block0-v2,0,1024,mixed,cell-000-b0-c1024/warmup-02-mixed-v1,True,False,,147.011566,127.230685,127.230685,396.17794777977105,1.283086,5,5966f57e6ddda65bd00ba683e651e7d9fe1fb78126a1391f5b013e768bdb99f4
orin64-ref-01,pilot-block0-v2,0,1024,decode-only,cell-000-b0-c1024/warmup-02-decode-only-v1,True,False,,,21.992007,,503.79856045937555,0.583015,4,2c9a72026d0a14fa4f89719ef5cd9ad7589acb34d813d1df138a5fe2e03f0e04
orin64-ref-01,pilot-block0-v2,0,1024,prefill-only,cell-000-b0-c1024/warmup-02-prefill-only-v1,True,False,,141.643249,,,119.09598074418966,0.225402,1,697950d9c856803d328f3062f728874409eb1781afca0d84d5a61c79d4514876
orin64-ref-01,pilot-block0-v2,0,1024,mixed,cell-000-b0-c1024/warmup-01-mixed-v1,True,False,,145.157944,125.874808,125.874808,396.54281040678177,1.545096,5,d940a137b7d8a3ae0dfb8ab8ae2d309633228b5a2a05b646d1f75a83afdc7f80
orin64-ref-01,pilot-block0-v2,0,1024,prefill-only,cell-000-b0-c1024/warmup-01-prefill-only-v1,True,False,,142.233753,,,119.08101766254401,0.221884,1,49d3da7a67a4ba73837947df9a9db2fb54176d519c602a82fe985235db5689ab
orin64-ref-01,pilot-block0-v2,0,1024,decode-only,cell-000-b0-c1024/warmup-01-decode-only-v1,True,False,,,22.039437,,504.1537662054813,0.61002,4,7b068f2b6e5871898b60dd7fc8bcab0dcadda7414a6db23130b2d49c2c621771
orin64-ref-01,pilot-block0-v2,0,1024,decode-only,cell-000-b0-c1024/repeat-00-decode-only-v1,False,True,,,22.347079,,503.6437543580677,0.506994,4,d2f8c4d2d091f34959060172b70be20f8391833fbfad96c222768e5461c2392d
orin64-ref-01,pilot-block0-v2,0,1024,prefill-only,cell-000-b0-c1024/repeat-00-prefill-only-v1,False,True,,141.530567,,,119.1374909546489,0.220648,1,bccee6412da7b70034f8a767759d43dba9c3ad075c04a40560b679b891033995
orin64-ref-01,pilot-block0-v2,0,1024,mixed,cell-000-b0-c1024/repeat-00-mixed-v1,False,True,,147.266914,126.509656,126.509656,396.4615499410064,0.727938,5,cc3dacf614aecffe1685e79acf827f07d4b3f2b126700e7c770813fd4ca9b07d
orin64-ref-01,pilot-block0-v2,0,1024,decode-only,cell-000-b0-c1024/repeat-01-decode-only-v1,False,True,,,21.954805,,503.9884628142316,0.515874,4,69730dd3ec68ecc0556e33a9ad9e551f872798fc7c463b3b7ce097ae7f7eb7bb
orin64-ref-01,pilot-block0-v2,0,1024,prefill-only,cell-000-b0-c1024/repeat-01-prefill-only-v1,False,True,,141.568197,,,119.12106939592493,0.231987,1,313fd9bc90d396d9eb3025c3d0dabc6820fa14c3a87fd3c57643bc8ff768905b
orin64-ref-01,pilot-block0-v2,0,1024,mixed,cell-000-b0-c1024/repeat-01-mixed-v1,False,True,,144.619417,125.302445,125.302445,396.9262175120829,0.886615,5,0f5668eb8ab766986c4d469915b9b3ebdfef94b9afddfae120e893b4a3f17209
orin64-ref-01,pilot-block0-v2,0,4096,mixed,cell-001-b0-c4096/warmup-02-mixed-v1,True,False,,134.603988,114.489156,114.489156,399.96938734301625,0.935887,5,d29dcc92860ae502b39d73a03c9721507aa63dcc668c67dd9339d699085a25f4
orin64-ref-01,pilot-block0-v2,0,4096,decode-only,cell-001-b0-c4096/warmup-02-decode-only-v1,True,False,,,21.967698,,505.52426250664854,0.544945,4,916c80c7cf0030065d29334badb190eff1994555ea89639f1294eac32e40e503
orin64-ref-01,pilot-block0-v2,0,4096,prefill-only,cell-001-b0-c4096/warmup-02-prefill-only-v1,True,False,,131.769588,,,120.15915436718423,0.221664,1,010635120e0562d1ae187f0eba9349a250bb8e480af96a436f5961c4e7086892
orin64-ref-01,pilot-block0-v2,0,4096,mixed,cell-001-b0-c4096/warmup-01-mixed-v1,True,False,,135.037318,114.344925,114.344925,399.9057924428864,0.914635,5,4b6e8a30e0e1619b0942bb8632a97e0e5b75801a3991baa1b640691d1a9d6e64
orin64-ref-01,pilot-block0-v2,0,4096,prefill-only,cell-001-b0-c4096/warmup-01-prefill-only-v1,True,False,,132.701682,,,120.04248971447345,0.230777,1,f349db7e5db710a84756b442cee26772e9d3e30a762f5a86fefbed05c8ff9303
orin64-ref-01,pilot-block0-v2,0,4096,decode-only,cell-001-b0-c4096/warmup-01-decode-only-v1,True,False,,,22.193779,,505.0840398087826,0.619871,4,ba2c36a68c8af200926957abe71f5faafa8c88f02c248ac26935f492b0198dc8
orin64-ref-01,pilot-block0-v2,0,4096,decode-only,cell-001-b0-c4096/repeat-00-decode-only-v1,False,True,,,21.86985,,504.8484202675674,0.522249,4,ca030dd8ad64c6becd385b902a1109e878a443da40a8d6f93dfe671d43f8f40b
orin64-ref-01,pilot-block0-v2,0,4096,prefill-only,cell-001-b0-c4096/repeat-00-prefill-only-v1,False,True,,132.92199,,,120.04827399951611,0.237273,1,c3b63ac478cf9415f91a5614c81b432f4351cd126812fef099d86a09440f580c
orin64-ref-01,pilot-block0-v2,0,4096,mixed,cell-001-b0-c4096/repeat-00-mixed-v1,False,True,,135.465828,115.475274,115.475274,399.9208004345334,0.715192,5,3ed3ca682aa4c8b23431da59ea1852cc8b786b6601411bec9d1211cc920271f7
orin64-ref-01,pilot-block0-v2,0,4096,decode-only,cell-001-b0-c4096/repeat-01-decode-only-v1,False,True,,,22.17276,,505.23119587240245,0.539534,4,9c996d03fb5c44435a11ba930a46eb792b23768d28eb6b0d1d3e0a2d81cdba78
orin64-ref-01,pilot-block0-v2,0,4096,prefill-only,cell-001-b0-c4096/repeat-01-prefill-only-v1,False,True,,131.596242,,,120.14462021943417,0.227259,1,9c1205d72eda13e3dfa70989598e7ba9776cc204df8f0a501051ce4580fc464b
orin64-ref-01,pilot-block0-v2,0,4096,mixed,cell-001-b0-c4096/repeat-01-mixed-v1,False,True,,134.619915,116.075669,116.075669,400.060763729175,0.719916,5,ffdf611d69a772a8bf21da56322266c2ddb01f5dc602bbac91661e4f15e3e10b
orin64-ref-01,pilot-block0-v2,0,256,mixed,cell-002-b0-c256/warmup-02-mixed-v1,True,False,,305.477531,280.866871,280.866871,361.1719010134591,0.536488,5,d1f9491be051d5e85d74d2f99e24b05ba935a39cda59ea22756ec17849ef62de
orin64-ref-01,pilot-block0-v2,0,256,decode-only,cell-002-b0-c256/warmup-02-decode-only-v1,True,False,,,47.182054,,492.7630186035787,0.523987,4,1064ca5f04d31d453178ba0ebef75c805084804b6ec69ae38bc72dd34b8d2b20
